site.num,subrep,collect.year,run.year,id,round,dose,nResist,nInt,nSens,nTot,pRes
123,a,2010,2010,123a,2010_5,1.5x,0,3,18,21,0
124,a,2010,2010,124a,2010_5,1.5x,0,6,15,21,0
125,a,2010,2010,125a,2010_5,1.5x,1,7,13,21,0.047619048
127,a,2010,2010,127a,2010_5,1.5x,0,0,12,12,0
127,a,2010,2010,127a,2010_7,1.5x,0,2,19,21,0
128,a,2010,2010,128a,2010_5,1.5x,2,5,14,21,0.095238095
128,a,2010,2010,128a,2010_10,1.5x,3,12,6,21,0.142857143
129,a,2010,2010,129a,2010_5,1.5x,2,7,12,21,0.095238095
132,a,2010,2010,132a,2010_5,1.5x,1,7,13,21,0.047619048
133,a,2010,2010,133a,2010_10,1.5x,5,14,2,21,0.238095238
134,a,2010,2010,134a,2010_5,1.5x,0,0,2,2,0
134,a,2010,2010,134a,2010_7,1.5x,0,1,10,11,0
135,a,2010,2010,135a,2010_10,1.5x,4,13,11,28,0.142857143
136,a,2010,2010,136a,2010_5,1.5x,0,0,9,9,0
136,a,2010,2010,136a,2010_7,1.5x,0,2,19,21,0
136,a,2010,2010,136a,2010_10,1.5x,0,0,21,21,0
137,a,2010,2010,137a,2010_5,1.5x,6,9,6,21,0.285714286
