yr,sp,ev,trt,type,blk,sam,%pred
1,W,5,NT,w,2,2,6
1,W,5,NT,w,2,3,16
1,W,5,NT,w,3,1,0
1,W,5,NT,w,3,2,10
1,W,5,NT,w,3,3,14
1,W,5,NT,w,4,1,20
1,W,5,NT,w,4,2,0
1,W,5,NT,w,4,3,6
2,W,1,CP,c,1,1,8
2,W,1,CP,c,1,2,2
2,W,1,CP,c,1,3,6
2,W,1,CP,c,2,1,4
2,W,1,CP,c,2,2,0
2,W,1,CP,c,2,3,6
2,W,1,CP,c,3,1,18
2,W,1,CP,c,3,2,10
2,W,1,CP,c,3,3,0
2,W,1,CP,c,4,1,6
2,W,1,CP,c,4,2,10
2,W,1,CP,c,4,3,4
2,W,1,CP,s,1,1,0
2,W,1,CP,s,1,2,0
2,W,1,CP,s,1,3,2
2,W,1,CP,s,2,1,2
2,W,1,CP,s,2,2,2
2,W,1,CP,s,2,3,0
2,W,1,CP,s,3,1,6
2,W,1,CP,s,3,2,0
2,W,1,CP,s,3,3,4
2,W,1,CP,s,4,1,6
2,W,1,CP,s,4,2,0
2,W,1,CP,s,4,3,4
2,W,1,CP,w,1,1,2
2,W,1,CP,w,1,2,10
2,W,1,CP,w,1,3,4
2,W,1,CP,w,2,1,4
2,W,1,CP,w,2,2,0
2,W,1,CP,w,2,3,2
2,W,1,CP,w,3,1,2
2,W,1,CP,w,3,2,12
2,W,1,CP,w,3,3,4
2,W,1,CP,w,4,1,4
2,W,1,CP,w,4,2,6
2,W,1,CP,w,4,3,4
2,W,1,MP,c,1,1,8
2,W,1,MP,c,1,2,2
2,W,1,MP,c,1,3,0
2,W,1,MP,c,2,1,2
2,W,1,MP,c,2,2,18
2,W,1,MP,c,2,3,0
2,W,1,MP,c,3,1,4
2,W,1,MP,c,3,2,2
2,W,1,MP,c,3,3,6
2,W,1,MP,c,4,1,4
2,W,1,MP,c,4,2,6
2,W,1,MP,c,4,3,8
2,W,1,MP,s,1,1,10
2,W,1,MP,s,1,2,8
2,W,1,MP,s,1,3,6
2,W,1,MP,s,2,1,8
2,W,1,MP,s,2,2,0
2,W,1,MP,s,2,3,6
2,W,1,MP,s,3,1,0
2,W,1,MP,s,3,2,2
2,W,1,MP,s,3,3,4
2,W,1,MP,s,4,1,6
2,W,1,MP,s,4,2,10
2,W,1,MP,s,4,3,6
2,W,1,MP,w,1,1,16
2,W,1,MP,w,1,2,2
2,W,1,MP,w,1,3,12
2,W,1,MP,w,2,1,6
2,W,1,MP,w,2,2,0
2,W,1,MP,w,2,3,2
2,W,1,MP,w,3,1,0
2,W,1,MP,w,3,2,2
2,W,1,MP,w,3,3,0
2,W,1,MP,w,4,1,6
2,W,1,MP,w,4,2,4
2,W,1,MP,w,4,3,12
2,W,1,NT,c,1,1,14
2,W,1,NT,c,1,2,2
2,W,1,NT,c,1,3,6
2,W,1,NT,c,2,1,8
2,W,1,NT,c,2,2,2
2,W,1,NT,c,2,3,10
2,W,1,NT,c,3,1,0
2,W,1,NT,c,3,2,12
2,W,1,NT,c,3,3,0
2,W,1,NT,c,4,1,0
2,W,1,NT,c,4,2,6
2,W,1,NT,c,4,3,6
2,W,1,NT,s,1,1,2
2,W,1,NT,s,1,2,6
2,W,1,NT,s,1,3,4
2,W,1,NT,s,2,1,2
2,W,1,NT,s,2,2,4
2,W,1,NT,s,2,3,8
2,W,1,NT,s,3,1,0
2,W,1,NT,s,3,2,2
2,W,1,NT,s,3,3,0
2,W,1,NT,s,4,1,0
2,W,1,NT,s,4,2,2
2,W,1,NT,s,4,3,8
2,W,1,NT,w,1,1,4
2,W,1,NT,w,1,2,10
2,W,1,NT,w,1,3,2
2,W,1,NT,w,2,1,8
2,W,1,NT,w,2,2,2
2,W,1,NT,w,2,3,8
2,W,1,NT,w,3,1,4
2,W,1,NT,w,3,2,8
2,W,1,NT,w,3,3,2
2,W,1,NT,w,4,1,4
2,W,1,NT,w,4,2,14
2,W,1,NT,w,4,3,8
2,W,2,CP,c,1,1,18
2,W,2,CP,c,1,2,0
2,W,2,CP,c,1,3,0
2,W,2,CP,c,2,1,6
2,W,2,CP,c,2,2,66
2,W,2,CP,c,2,3,30
2,W,2,CP,c,3,1,6
2,W,2,CP,c,3,2,60
2,W,2,CP,c,3,3,2
2,W,2,CP,c,4,1,8
2,W,2,CP,c,4,2,0
2,W,2,CP,c,4,3,2
2,W,2,CP,s,1,1,2
2,W,2,CP,s,1,2,4
2,W,2,CP,s,1,3,2
2,W,2,CP,s,2,1,2
2,W,2,CP,s,2,2,0
2,W,2,CP,s,2,3,2
2,W,2,CP,s,3,1,2
2,W,2,CP,s,3,2,2
2,W,2,CP,s,3,3,4
2,W,2,CP,s,4,1,2
2,W,2,CP,s,4,2,4
2,W,2,CP,s,4,3,0
2,W,2,CP,w,1,1,8
2,W,2,CP,w,1,2,6
2,W,2,CP,w,1,3,4
2,W,2,CP,w,2,1,16
2,W,2,CP,w,2,2,14
2,W,2,CP,w,2,3,18
2,W,2,CP,w,3,1,22
2,W,2,CP,w,3,2,78
2,W,2,CP,w,3,3,40
2,W,2,CP,w,4,1,6
2,W,2,CP,w,4,2,10
2,W,2,CP,w,4,3,10
2,W,2,MP,c,1,1,4
2,W,2,MP,c,1,2,30
2,W,2,MP,c,1,3,10
2,W,2,MP,c,2,1,52
2,W,2,MP,c,2,2,0
2,W,2,MP,c,2,3,32
2,W,2,MP,c,3,1,8
2,W,2,MP,c,3,2,6
